On iwillvote.com?,Form complete?,Muni,AbsenteeLocation,Address,FromDate,ToDate,AdditionalInstructions
yes,NA,CITY OF MAYVILLE - DODGE COUNTY,Mayville City Hall,"15 S SCHOOL ST, MAYVILLE, WI 53050-1656",9/30/2020,11/3/2020,"The silver, locked drop box is in the City Hall parking lot (next to the post office box).  "
no,yes,CITY OF MENASHA - MULTIPLE COUNTIES,Menasha City Hall Drop-box,"100 MAIN ST, MENASHA, WI 54952",9/1/2020,11/3/2020,"Located in the parking lot off 100 Main Street. The drop-box is a black free standing, locked box that is on the left when entering the parking lot. "
yes,NA,CITY OF MENASHA - MULTIPLE COUNTIES,Menasha Library Drop-box,"440 1ST ST, MENASHA, WI 54952",9/1/2020,11/3/2020,Designated book drop slot 
,,CITY OF MERRILL - LINCOLN COUNTY,Merrill City Hall Ballot Drop Box,"1004 E 1ST ST, MERRILL, WI 54452-2560",9/22/2020,11/3/2020,
,,CITY OF MIDDLETON - DANE COUNTY,Dropbox,"7425 HUBBARD AVE, MIDDLETON, WI 53562",11/3/2020,11/3/2020,
,,CITY OF MILTON - ROCK COUNTY,Milton City Hall,"710 S JANESVILLE ST, MILTON, WI 53563-1748",9/18/2020,11/3/2020,
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Atkinson Library,"1960 W ATKINSON AVE, MILWAUKEE, WI 53209-6814",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Bay View Library,"2566 S KINNICKINNIC AVE, MILWAUKEE, WI 53207-1654",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
no,yes,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Capitol Library,"7413 W CAPITOL DR, MILWAUKEE, WI 53216",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Center Street Library,"2727 W FOND DU LAC AVE, MILWAUKEE, WI 53210-2624",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Central Library,"814 W WISCONSIN AVE, MILWAUKEE, WI 53233",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,City Hall Complex,"200 E WELLS ST, MILWAUKEE, WI 53202-3515",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,East Library,"2320 N CRAMER ST, MILWAUKEE, WI 53211-4380",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Election Comission Warehouse,"1901 S KINNICKINNIC AVE, MILWAUKEE, WI 53204",9/21/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Good Hope Library,"7715 W GOOD HOPE RD, MILWAUKEE, WI 53223",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Martin Luther King Library,"310 W LOCUST ST, MILWAUKEE, WI 53212-2345",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Mitchell Street Library,"906 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Tippecanoe Library,"3912 S HOWELL AVE, MILWAUKEE, WI 53207-4422",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Villard Square Library,"5190 N 35TH ST, MILWAUKEE, WI 53209-5357",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Washington Park Library,"2121 N SHERMAN BLVD, MILWAUKEE, WI 53208-1211",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MILWAUKEE - MULTIPLE COUNTIES,Zablocki Library,"3501 W OKLAHOMA AVE, MILWAUKEE, WI 53215-4136",9/20/2020,11/3/2020,"24-Hour dropbox available until 8pm on November 3, 2020."
yes,NA,CITY OF MOSINEE - MARATHON COUNTY,Mosinee City Hall,"225 MAIN ST, MOSINEE, WI 54455-1443",9/22/2020,11/3/2020,Drop Box is located at the bottom of the steps outside of City Hall.
