state_code,county_name,town,precinct_name,precinct_id,GC_Polling_Place
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 001,414683,"WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND, 2100 BEASER AVE, ASHLAND, WI, 54806"
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 010,415388,"BRETTING COMMUNITY CENTER, 400 4TH AVE W, ASHLAND, WI, 54806"
WI,ASHLAND,VILLAGE OF BUTTERNUT,ASHLAND - VILLAGE OF BUTTERNUT - WARD 001,418047,"BUTTERNUT VILLAGE HALL, 301 W MICHIGAN ST, BUTTERNUT, WI, 54514"
WI,ASHLAND,TOWN OF WHITE RIVER,ASHLAND - TOWN OF WHITE RIVER - WARD 002,418274,"WHITE RIVER TOWN HALL, 61939 STATE HIGHWAY 112, ASHLAND, WI, 54806"
WI,ASHLAND,VILLAGE OF BUTTERNUT,ASHLAND - VILLAGE OF BUTTERNUT - WARD 002,418563,"BUTTERNUT VILLAGE HALL, 301 W MICHIGAN ST, BUTTERNUT, WI, 54514"
WI,ASHLAND,TOWN OF AGENDA,ASHLAND - TOWN OF AGENDA - WARD 001,416684,NA
WI,ASHLAND,TOWN OF CHIPPEWA,ASHLAND - TOWN OF CHIPPEWA - WARD 001,417348,"CHIPPEWA TOWN HALL, 77504 WEST RD, BUTTERNUT, WI, 54514"
WI,ASHLAND,CITY OF MELLEN,ASHLAND - CITY OF MELLEN - WARD 001,417354,"MELLEN LIBRARY/SENIOR CITIZEN CENTER, 106 IRON ST, MELLEN, WI, 54546"
WI,ASHLAND,TOWN OF MARENGO,ASHLAND - TOWN OF MARENGO - WARD 002,1578845,NA
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 006,415696,"BRETTING COMMUNITY CENTER, 400 4TH AVE W, ASHLAND, WI, 54806"
WI,ASHLAND,TOWN OF WHITE RIVER,ASHLAND - TOWN OF WHITE RIVER - WARD 001,416592,"WHITE RIVER TOWN HALL, 61939 STATE HIGHWAY 112, ASHLAND, WI, 54806"
WI,ASHLAND,TOWN OF SANBORN,ASHLAND - TOWN OF SANBORN - WARD 002,418043,"SANBORN TOWN HALL, 69393 LAKE SHORE DR E, ASHLAND, WI, 54806"
WI,BARRON,CITY OF BARRON,BARRON - CITY OF BARRON - WARD 002,415246,"BARRON CITY HALL, 1456 E LASALLE AVE, BARRON, WI, 54812"
WI,BARRON,CITY OF BARRON,BARRON - CITY OF BARRON - WARD 004,416142,"BARRON CITY HALL, 1456 E LASALLE AVE, BARRON, WI, 54812"
WI,BARRON,TOWN OF OAK GROVE,BARRON - TOWN OF OAK GROVE - WARD 002,417799,"OAK GROVE TOWN HALL, 2798 22ND ST, RICE LAKE, WI, 54868"
WI,BARRON,TOWN OF MAPLE PLAIN,BARRON - TOWN OF MAPLE PLAIN - WARD 001,415069,"MAPLE PLAIN TOWN HALL, 393 26TH AVE, CUMBERLAND, WI, 54829"
WI,BARRON,TOWN OF TURTLE LAKE,BARRON - TOWN OF TURTLE LAKE - WARD 001,416219,"TURTLE LAKE TOWN HALL, 1076 3RD ST, TURTLE LAKE, WI, 54889"
WI,BARRON,CITY OF RICE LAKE,BARRON - CITY OF RICE LAKE - WARD 005,416438,"RICE LAKE CITY HALL, 30 E EAU CLAIRE ST, RICE LAKE, WI, 54868"
WI,BARRON,TOWN OF CUMBERLAND,BARRON - TOWN OF CUMBERLAND - WARD 001,414738,"CUMBERLAND TOWN HALL, 902 20TH AVE, CUMBERLAND, WI, 54829"
WI,BARRON,TOWN OF RICE LAKE,BARRON - TOWN OF RICE LAKE - WARD 003,415841,"Rice Lake Town Hall, 1830 MACAULEY AVE, RICE LAKE, WI, 54868"
WI,BARRON,TOWN OF STANLEY,BARRON - TOWN OF STANLEY - WARD 001,415879,"STANLEY TOWN HALL, 2026 15TH AVE, CAMERON, WI, 54822"
WI,BARRON,CITY OF BARRON,BARRON - CITY OF BARRON - WARD 003,417157,"BARRON CITY HALL, 1456 E LASALLE AVE, BARRON, WI, 54812"
WI,BARRON,VILLAGE OF DALLAS,BARRON - VILLAGE OF DALLAS - WARD 001,417673,NA
WI,BARRON,VILLAGE OF NEW AUBURN,BARRON - VILLAGE OF NEW AUBURN - WARD 002,418797,"NEW AUBURN VILLAGE HALL, 130 E ELM ST, NEW AUBURN, WI, 54757"
WI,BARRON,TOWN OF STANLEY,BARRON - TOWN OF STANLEY - WARD 003,414259,"STANLEY TOWN HALL, 2026 15TH AVE, CAMERON, WI, 54822"
WI,BARRON,TOWN OF STANLEY,BARRON - TOWN OF STANLEY - WARD 002,415472,"STANLEY TOWN HALL, 2026 15TH AVE, CAMERON, WI, 54822"
WI,BARRON,TOWN OF DOVRE,BARRON - TOWN OF DOVRE - WARD 001,415763,"DOVRE TOWN HALL, 304 25 1/2 ST, NEW AUBURN, WI, 54757"
WI,BARRON,TOWN OF PRAIRIE LAKE,BARRON - TOWN OF PRAIRIE LAKE - WARD 002,415814,"PRAIRIE LAKE MUNICIPAL BUILDING, 796 21ST ST, CHETEK, WI, 54728"
WI,BARRON,TOWN OF BEAR LAKE,BARRON - TOWN OF BEAR LAKE - WARD 001,415908,"BEAR LAKE TOWN HALL, 2498 17TH ST, RICE LAKE, WI, 54868"
WI,BARRON,TOWN OF DOYLE,BARRON - TOWN OF DOYLE - WARD 001,417019,"DOYLE TOWN HALL, 2248 27TH ST, RICE LAKE, WI, 54868"
WI,BARRON,TOWN OF LAKELAND,BARRON - TOWN OF LAKELAND - WARD 001,417506,"LAKELAND TOWN HALL, 791 29 11/16 AVE, BARRONETT, WI, 54813"
WI,BARRON,VILLAGE OF CAMERON,BARRON - VILLAGE OF CAMERON - WARD 003,1578848,"CAMERON VILLAGE HALL, 300 N 1ST ST, CAMERON, WI, 54822"
WI,BARRON,TOWN OF DOYLE,BARRON - TOWN OF DOYLE - WARD 002,1578849,"DOYLE TOWN HALL, 2248 27TH ST, RICE LAKE, WI, 54868"
WI,BARRON,TOWN OF STANLEY,BARRON - TOWN OF STANLEY - WARD 004,1578850,"STANLEY TOWN HALL, 2026 15TH AVE, CAMERON, WI, 54822"
WI,BARRON,TOWN OF CHETEK,BARRON - TOWN OF CHETEK - WARD 001,415065,"CHETEK TOWN HALL, 213 KNAPP ST, CHETEK, WI, 54728"
WI,BARRON,CITY OF RICE LAKE,BARRON - CITY OF RICE LAKE - WARD 007,417938,"RICE LAKE CITY HALL, 30 E EAU CLAIRE ST, RICE LAKE, WI, 54868"
WI,BARRON,TOWN OF RICE LAKE,BARRON - TOWN OF RICE LAKE - WARD 004,416355,"Rice Lake Town Hall, 1830 MACAULEY AVE, RICE LAKE, WI, 54868"
WI,BARRON,CITY OF CHETEK,BARRON - CITY OF CHETEK - WARD 004,416369,NA
